16:49:11 INFO  manager.ApplManager - Tests starts on Chrome Driver
16:49:20 INFO  tests.TestBase - Start test--->findYourCarPositive
16:49:20 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@id='city']
16:49:20 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@id='city']was found
16:49:20 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: div.pac-item
16:49:21 INFO  manager.MyListener - The element with locator-->By.cssSelector: div.pac-itemwas found
16:49:22 INFO  manager.MyListener - Start searching element by locator-->By.xpath: (//input[@id='dates'])[1]
16:49:22 INFO  manager.MyListener - The element with locator-->By.xpath: (//input[@id='dates'])[1]was found
16:49:22 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[@type='submit']
16:49:22 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@type='submit']was found
16:49:22 INFO  tests.TestBase - The end of test--->findYourCarPositive
