20:18:46 INFO  manager.ApplManager - Tests starts on Chrome Driver
20:18:53 INFO  tests.TestBase - Start test--->findYourCarPositive
20:18:53 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@id='city']
20:18:53 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@id='city']was found
20:18:53 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: div.pac-item
20:18:54 INFO  manager.MyListener - The element with locator-->By.cssSelector: div.pac-itemwas found
20:18:54 INFO  manager.MyListener - Start searching element by locator-->By.xpath: (//input[@id='dates'])[1]
20:18:55 INFO  manager.MyListener - The element with locator-->By.xpath: (//input[@id='dates'])[1]was found
20:18:55 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[@type='submit']
20:18:55 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@type='submit']was found
20:18:55 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: .car-img-container.ng-star-inserted
20:18:56 INFO  manager.MyListener - The element with locator-->By.cssSelector: .car-img-container.ng-star-insertedwas found
20:18:56 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[@class='header']//img[@alt='logo']
20:18:56 INFO  manager.MyListener - The element with locator-->By.xpath: //div[@class='header']//img[@alt='logo']was found
20:18:56 INFO  tests.TestBase - The end of test--->findYourCarPositive
