18:54:57 INFO  manager.ApplManager - Tests starts on Chrome Driver
18:55:03 INFO  tests.TestBase - Start test--->searchTests
18:55:03 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@id='city']
18:55:03 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@id='city']was found
18:55:03 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: div.pac-item
18:55:04 INFO  manager.MyListener - The element with locator-->By.cssSelector: div.pac-itemwas found
18:55:04 INFO  manager.MyListener - Start searching element by locator-->By.xpath: (//input[@id='dates'])[1]
18:55:04 INFO  manager.MyListener - The element with locator-->By.xpath: (//input[@id='dates'])[1]was found
18:55:04 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[.=' 25 ']
18:55:04 INFO  manager.MyListener - The element with locator-->By.xpath: //div[.=' 25 ']was found
18:55:04 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[.=' 30 ']
18:55:05 INFO  manager.MyListener - The element with locator-->By.xpath: //div[.=' 30 ']was found
18:55:05 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[@type='submit']
18:55:05 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@type='submit']was found
18:55:05 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: .car-img-container.ng-star-inserted
18:55:06 INFO  manager.MyListener - The element with locator-->By.cssSelector: .car-img-container.ng-star-insertedwas found
18:55:06 INFO  tests.TestBase - The end of test--->searchTests
