18:52:36 INFO  manager.ApplManager - Tests starts on Chrome Driver
18:52:42 INFO  tests.TestBase - Start test--->searchTestYear
18:52:42 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@id='city']
18:52:42 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@id='city']was found
18:52:42 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: div.pac-item
18:52:42 INFO  manager.MyListener - The element with locator-->By.cssSelector: div.pac-itemwas found
18:52:43 INFO  manager.MyListener - Start searching element by locator-->By.xpath: (//input[@id='dates'])[1]
18:52:43 INFO  manager.MyListener - The element with locator-->By.xpath: (//input[@id='dates'])[1]was found
18:52:43 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[@aria-label='Next month']
18:52:43 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@aria-label='Next month']was found
18:52:43 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[.=' 25 ']
18:52:43 INFO  manager.MyListener - The element with locator-->By.xpath: //div[.=' 25 ']was found
18:52:43 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[.=' 27 ']
18:52:43 INFO  manager.MyListener - The element with locator-->By.xpath: //div[.=' 27 ']was found
18:52:48 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[@class='header']//img[@alt='logo']
18:52:48 INFO  manager.MyListener - The element with locator-->By.xpath: //div[@class='header']//img[@alt='logo']was found
18:52:49 INFO  tests.TestBase - The end of test--->searchTestYear
