19:50:19 INFO  manager.ApplManager - Tests starts on Chrome Driver
19:50:32 INFO  tests.TestBase - Start test--->searchTests
19:50:32 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@id='city']
19:50:32 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@id='city']was found
19:50:32 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: div.pac-item
19:50:33 INFO  manager.MyListener - The element with locator-->By.cssSelector: div.pac-itemwas found
19:50:33 INFO  manager.MyListener - Start searching element by locator-->By.xpath: (//input[@id='dates'])[1]
19:50:33 INFO  manager.MyListener - The element with locator-->By.xpath: (//input[@id='dates'])[1]was found
19:50:33 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[@aria-label='Next month']
19:50:33 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@aria-label='Next month']was found
19:50:33 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[.=' 15 ']
19:50:34 INFO  manager.MyListener - The element with locator-->By.xpath: //div[.=' 15 ']was found
19:50:34 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[.=' 10 ']
19:50:34 INFO  manager.MyListener - The element with locator-->By.xpath: //div[.=' 10 ']was found
19:50:34 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[@type='submit']
19:50:34 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@type='submit']was found
19:50:34 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: .car-img-container.ng-star-inserted
19:50:35 INFO  manager.MyListener - The element with locator-->By.cssSelector: .car-img-container.ng-star-insertedwas found
19:50:35 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[@class='header']//img[@alt='logo']
19:50:35 INFO  manager.MyListener - The element with locator-->By.xpath: //div[@class='header']//img[@alt='logo']was found
19:50:36 INFO  tests.TestBase - The end of test--->searchTests
