20:25:32 INFO  manager.ApplManager - Tests starts on Chrome Driver
20:25:46 INFO  tests.TestBase - Start test--->addNewCarTestPositive
20:25:46 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //a[text()=' Log in ']
20:25:46 INFO  manager.MyListener - The element with locator-->By.xpath: //a[text()=' Log in ']was found
20:25:46 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[@class='header']/a[6]
20:25:46 INFO  manager.MyListener - The element with locator-->By.xpath: //div[@class='header']/a[6]was found
20:25:47 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@autocomplete='username']
20:25:47 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@autocomplete='username']was found
20:25:47 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@autocomplete='current-password']
20:25:47 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@autocomplete='current-password']was found
20:25:47 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[@type='submit']
20:25:47 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@type='submit']was found
20:25:47 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[text()='Ok']
20:25:48 INFO  manager.MyListener - The element with locator-->By.xpath: //button[text()='Ok']was found
20:25:48 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[text()='Ok']
20:25:48 INFO  manager.MyListener - The element with locator-->By.xpath: //button[text()='Ok']was found
20:25:49 INFO  manager.MyListener - Start searching element by locator-->By.id: 1
20:25:49 INFO  manager.MyListener - The element with locator-->By.id: 1was found
20:25:49 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: h2
20:25:49 INFO  manager.MyListener - The element with locator-->By.cssSelector: h2was found
20:25:49 INFO  manager.MyListener - Start searching element by locator-->By.id: pickUpPlace
20:25:49 INFO  manager.MyListener - The element with locator-->By.id: pickUpPlacewas found
20:25:49 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: div.pac-item
20:25:50 INFO  manager.MyListener - The element with locator-->By.cssSelector: div.pac-itemwas found
20:25:51 INFO  manager.MyListener - Start searching element by locator-->By.id: make
20:25:51 INFO  manager.MyListener - The element with locator-->By.id: makewas found
20:25:51 INFO  manager.MyListener - Start searching element by locator-->By.id: model
20:25:51 INFO  manager.MyListener - The element with locator-->By.id: modelwas found
20:25:51 INFO  manager.MyListener - Start searching element by locator-->By.id: year
20:25:51 INFO  manager.MyListener - The element with locator-->By.id: yearwas found
20:25:51 INFO  manager.MyListener - Start searching element by locator-->By.id: engine
20:25:51 INFO  manager.MyListener - The element with locator-->By.id: enginewas found
20:25:51 INFO  manager.MyListener - Start searching element by locator-->By.id: fuel
20:25:51 INFO  manager.MyListener - The element with locator-->By.id: fuelwas found
20:25:51 INFO  manager.MyListener - Start searching element by locator-->By.xpath: .//option[@value = "Petrol"]
