16:20:03 INFO  manager.ApplManager - Tests starts on Chrome Driver
16:20:14 INFO  tests.TestBase - Start test--->findYourCarPositive
16:20:14 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@id='city']
16:20:14 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@id='city']was found
16:20:14 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: div.pac-item
16:20:15 INFO  manager.MyListener - The element with locator-->By.cssSelector: div.pac-itemwas found
16:20:15 INFO  manager.MyListener - Start searching element by locator-->By.xpath: (//input[@id='dates'])[1]
16:20:15 INFO  manager.MyListener - The element with locator-->By.xpath: (//input[@id='dates'])[1]was found
16:20:16 INFO  tests.TestBase - The end of test--->findYourCarPositive
