17:59:30 INFO  manager.ApplManager - Tests starts on Chrome Driver
17:59:36 INFO  tests.TestBase - Start test--->findYourCarPositive2
17:59:36 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@id='city']
17:59:36 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@id='city']was found
17:59:36 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: div.pac-item
17:59:37 INFO  manager.MyListener - The element with locator-->By.cssSelector: div.pac-itemwas found
17:59:37 INFO  manager.MyListener - Start searching element by locator-->By.xpath: (//input[@id='dates'])[1]
17:59:37 INFO  manager.MyListener - The element with locator-->By.xpath: (//input[@id='dates'])[1]was found
17:59:37 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[text()= 21 ]
17:59:37 INFO  manager.MyListener - The element with locator-->By.xpath: //div[text()= 21 ]was found
17:59:37 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[text()= 25 ]
17:59:37 INFO  manager.MyListener - The element with locator-->By.xpath: //div[text()= 25 ]was found
17:59:37 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[@type='submit']
17:59:38 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@type='submit']was found
17:59:38 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: .car-img-container.ng-star-inserted
17:59:39 INFO  manager.MyListener - The element with locator-->By.cssSelector: .car-img-container.ng-star-insertedwas found
17:59:39 INFO  tests.TestBase - The end of test--->findYourCarPositive2
