17:52:48 INFO  manager.ApplManager - Tests starts on Chrome Driver
17:52:54 INFO  tests.TestBase - Start test--->findYourCarPositive
17:52:54 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@id='city']
17:52:54 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@id='city']was found
17:52:55 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: div.pac-item
17:52:55 INFO  manager.MyListener - The element with locator-->By.cssSelector: div.pac-itemwas found
17:52:56 INFO  manager.MyListener - Start searching element by locator-->By.xpath: (//input[@id='dates'])[1]
17:52:56 INFO  manager.MyListener - The element with locator-->By.xpath: (//input[@id='dates'])[1]was found
17:52:56 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[@type='submit']
17:52:56 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@type='submit']was found
17:52:56 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: .car-img-container.ng-star-inserted
17:52:57 INFO  manager.MyListener - The element with locator-->By.cssSelector: .car-img-container.ng-star-insertedwas found
17:52:57 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[@class='header']//img[@alt='logo']
17:52:57 INFO  manager.MyListener - The element with locator-->By.xpath: //div[@class='header']//img[@alt='logo']was found
17:52:58 INFO  tests.TestBase - The end of test--->findYourCarPositive
