20:47:53 INFO  manager.ApplManager - Tests starts on Chrome Driver
20:48:02 INFO  tests.TestBase - Start test--->test
20:48:02 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //a[@href="/logout?url=%2Fsearch"]
20:48:17 INFO  manager.MyListener - The element with locator-->By.xpath: //a[@href="/logout?url=%2Fsearch"]was found
20:48:17 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[@class='header']/a[6]
20:48:17 INFO  manager.MyListener - The element with locator-->By.xpath: //div[@class='header']/a[6]was found
20:48:17 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@autocomplete='username']
20:48:17 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@autocomplete='username']was found
20:48:17 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@autocomplete='current-password']
20:48:17 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@autocomplete='current-password']was found
20:48:17 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[@type='submit']
20:48:17 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@type='submit']was found
20:48:19 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: .dialog-container
20:48:19 INFO  manager.MyListener - The element with locator-->By.cssSelector: .dialog-containerwas found
20:48:19 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: .dialog-container h2
20:48:19 INFO  manager.MyListener - The element with locator-->By.cssSelector: .dialog-container h2was found
20:48:19 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[text()='Ok']
20:48:19 INFO  manager.MyListener - The element with locator-->By.xpath: //button[text()='Ok']was found
20:48:19 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[text()='Ok']
20:48:19 INFO  manager.MyListener - The element with locator-->By.xpath: //button[text()='Ok']was found
20:48:19 INFO  tests.TestBase - The end of test--->test
20:48:19 INFO  tests.TestBase - Start test--->test
20:48:19 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //a[@href="/logout?url=%2Fsearch"]
20:48:19 INFO  manager.MyListener - The element with locator-->By.xpath: //a[@href="/logout?url=%2Fsearch"]was found
20:48:19 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //a[@href="/logout?url=%2Fsearch"]
20:48:19 INFO  manager.MyListener - The element with locator-->By.xpath: //a[@href="/logout?url=%2Fsearch"]was found
20:48:20 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[@class='header']/a[6]
20:48:20 INFO  manager.MyListener - The element with locator-->By.xpath: //div[@class='header']/a[6]was found
20:48:20 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@autocomplete='username']
20:48:20 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@autocomplete='username']was found
20:48:20 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@autocomplete='current-password']
20:48:20 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@autocomplete='current-password']was found
20:48:20 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[@type='submit']
20:48:20 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@type='submit']was found
20:48:22 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: .dialog-container
20:48:22 INFO  manager.MyListener - The element with locator-->By.cssSelector: .dialog-containerwas found
20:48:22 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: .dialog-container h2
20:48:22 INFO  manager.MyListener - The element with locator-->By.cssSelector: .dialog-container h2was found
20:48:22 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[text()='Ok']
20:48:22 INFO  manager.MyListener - The element with locator-->By.xpath: //button[text()='Ok']was found
20:48:22 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[text()='Ok']
20:48:22 INFO  manager.MyListener - The element with locator-->By.xpath: //button[text()='Ok']was found
