18:05:46 INFO  manager.ApplManager - Tests starts on Chrome Driver
18:05:51 INFO  tests.TestBase - Start test--->findYourCarPositive2
18:05:51 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@id='city']
18:05:51 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@id='city']was found
18:05:51 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: div.pac-item
18:05:52 INFO  manager.MyListener - The element with locator-->By.cssSelector: div.pac-itemwas found
18:05:53 INFO  manager.MyListener - Start searching element by locator-->By.xpath: (//input[@id='dates'])[1]
18:05:53 INFO  manager.MyListener - The element with locator-->By.xpath: (//input[@id='dates'])[1]was found
18:05:53 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[text()= 28 ]
18:05:53 INFO  manager.MyListener - The element with locator-->By.xpath: //div[text()= 28 ]was found
18:05:53 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[text()= 30 ]
18:05:53 INFO  manager.MyListener - The element with locator-->By.xpath: //div[text()= 30 ]was found
18:05:53 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[@type='submit']
18:05:53 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@type='submit']was found
18:05:53 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: .car-img-container.ng-star-inserted
18:05:54 INFO  manager.MyListener - The element with locator-->By.cssSelector: .car-img-container.ng-star-insertedwas found
18:05:54 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[@class='header']//img[@alt='logo']
18:05:54 INFO  manager.MyListener - The element with locator-->By.xpath: //div[@class='header']//img[@alt='logo']was found
18:05:55 INFO  tests.TestBase - The end of test--->findYourCarPositive2
