19:46:36 INFO  manager.ApplManager - Tests starts on Chrome Driver
19:46:42 INFO  tests.TestBase - Start test--->searchTests
19:46:42 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@id='city']
19:46:42 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@id='city']was found
19:46:42 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: div.pac-item
19:46:42 INFO  manager.MyListener - The element with locator-->By.cssSelector: div.pac-itemwas found
19:46:43 INFO  manager.MyListener - Start searching element by locator-->By.xpath: (//input[@id='dates'])[1]
19:46:43 INFO  manager.MyListener - The element with locator-->By.xpath: (//input[@id='dates'])[1]was found
19:46:43 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[@aria-label='Next month']
19:46:43 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@aria-label='Next month']was found
19:46:43 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[@aria-label='Next month']
19:46:43 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@aria-label='Next month']was found
19:46:43 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[@aria-label='Next month']
19:46:43 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@aria-label='Next month']was found
19:46:43 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[.=' 15 ']
19:46:43 INFO  manager.MyListener - The element with locator-->By.xpath: //div[.=' 15 ']was found
19:46:43 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[@aria-label='Next month']
19:46:43 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@aria-label='Next month']was found
19:46:43 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[.=' 15 ']
19:46:43 INFO  manager.MyListener - The element with locator-->By.xpath: //div[.=' 15 ']was found
19:46:44 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[@type='submit']
19:46:44 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@type='submit']was found
19:46:44 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: .car-img-container.ng-star-inserted
19:46:45 INFO  manager.MyListener - The element with locator-->By.cssSelector: .car-img-container.ng-star-insertedwas found
19:46:45 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[@class='header']//img[@alt='logo']
19:46:45 INFO  manager.MyListener - The element with locator-->By.xpath: //div[@class='header']//img[@alt='logo']was found
19:46:45 INFO  tests.TestBase - The end of test--->searchTests
