18:13:56 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@autocomplete='username']
18:13:56 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@autocomplete='username']was found
18:13:56 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@autocomplete='current-password']
18:13:56 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@autocomplete='current-password']was found
18:13:57 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[@type='submit']
18:13:57 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@type='submit']was found
18:13:57 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[text()='Ok']
18:13:58 INFO  manager.MyListener - The element with locator-->By.xpath: //button[text()='Ok']was found
18:13:58 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[text()='Ok']
18:13:58 INFO  manager.MyListener - The element with locator-->By.xpath: //button[text()='Ok']was found
18:13:59 INFO  manager.MyListener - Start searching element by locator-->By.id: 1
18:13:59 INFO  manager.MyListener - The element with locator-->By.id: 1was found
18:13:59 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: h2
18:13:59 INFO  manager.MyListener - The element with locator-->By.cssSelector: h2was found
18:13:59 INFO  manager.MyListener - Start searching element by locator-->By.id: pickUpPlace
18:13:59 INFO  manager.MyListener - The element with locator-->By.id: pickUpPlacewas found
18:13:59 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: div.pac-item
18:14:00 INFO  manager.MyListener - The element with locator-->By.cssSelector: div.pac-itemwas found
18:14:01 INFO  manager.MyListener - Start searching element by locator-->By.id: make
18:14:01 INFO  manager.MyListener - The element with locator-->By.id: makewas found
18:14:01 INFO  manager.MyListener - Start searching element by locator-->By.id: model
18:14:01 INFO  manager.MyListener - The element with locator-->By.id: modelwas found
18:14:02 INFO  manager.MyListener - Start searching element by locator-->By.id: year
18:14:02 INFO  manager.MyListener - The element with locator-->By.id: yearwas found
18:14:02 INFO  manager.MyListener - Start searching element by locator-->By.id: engine
18:14:02 INFO  manager.MyListener - The element with locator-->By.id: enginewas found
18:14:02 INFO  manager.MyListener - Start searching element by locator-->By.id: fuel
18:14:02 INFO  manager.MyListener - The element with locator-->By.id: fuelwas found
