20:41:18 INFO  manager.ApplManager - Tests starts on Chrome Driver
20:41:23 INFO  tests.TestBase - Start test--->test
20:41:23 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //a[@href="/logout?url=%2Fsearch"]
20:41:38 INFO  manager.MyListener - The element with locator-->By.xpath: //a[@href="/logout?url=%2Fsearch"]was found
20:41:38 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[@class='header']/a[6]
20:41:38 INFO  manager.MyListener - The element with locator-->By.xpath: //div[@class='header']/a[6]was found
20:41:38 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@autocomplete='username']
20:41:38 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@autocomplete='username']was found
20:41:38 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@autocomplete='current-password']
20:41:38 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@autocomplete='current-password']was found
20:41:38 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[@type='submit']
20:41:38 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@type='submit']was found
20:41:41 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: .dialog-container
20:41:41 INFO  manager.MyListener - The element with locator-->By.cssSelector: .dialog-containerwas found
20:41:41 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: .dialog-container h2
20:41:41 INFO  manager.MyListener - The element with locator-->By.cssSelector: .dialog-container h2was found
20:41:41 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[text()='Ok']
20:41:41 INFO  manager.MyListener - The element with locator-->By.xpath: //button[text()='Ok']was found
20:41:41 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[text()='Ok']
20:41:41 INFO  manager.MyListener - The element with locator-->By.xpath: //button[text()='Ok']was found
20:41:41 INFO  tests.TestBase - The end of test--->test
20:41:41 INFO  tests.TestBase - Start test--->test
20:41:41 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //a[@href="/logout?url=%2Fsearch"]
20:41:41 INFO  manager.MyListener - The element with locator-->By.xpath: //a[@href="/logout?url=%2Fsearch"]was found
20:41:41 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //a[@href="/logout?url=%2Fsearch"]
20:41:41 INFO  manager.MyListener - The element with locator-->By.xpath: //a[@href="/logout?url=%2Fsearch"]was found
20:41:41 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[@class='header']/a[6]
20:41:41 INFO  manager.MyListener - The element with locator-->By.xpath: //div[@class='header']/a[6]was found
20:41:41 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@autocomplete='username']
20:41:41 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@autocomplete='username']was found
20:41:41 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@autocomplete='current-password']
20:41:41 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@autocomplete='current-password']was found
20:41:41 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[@type='submit']
20:41:41 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@type='submit']was found
20:41:43 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: .dialog-container
20:41:43 INFO  manager.MyListener - The element with locator-->By.cssSelector: .dialog-containerwas found
20:41:43 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: .dialog-container h2
20:41:43 INFO  manager.MyListener - The element with locator-->By.cssSelector: .dialog-container h2was found
20:41:43 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[text()='Ok']
20:41:43 INFO  manager.MyListener - The element with locator-->By.xpath: //button[text()='Ok']was found
20:41:43 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[text()='Ok']
20:41:43 INFO  manager.MyListener - The element with locator-->By.xpath: //button[text()='Ok']was found
20:41:43 INFO  tests.TestBase - The end of test--->test
20:41:43 INFO  tests.TestBase - Start test--->test
20:41:43 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //a[@href="/logout?url=%2Fsearch"]
20:41:43 INFO  manager.MyListener - The element with locator-->By.xpath: //a[@href="/logout?url=%2Fsearch"]was found
20:41:43 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //a[@href="/logout?url=%2Fsearch"]
20:41:44 INFO  manager.MyListener - The element with locator-->By.xpath: //a[@href="/logout?url=%2Fsearch"]was found
20:41:44 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[@class='header']/a[6]
20:41:44 INFO  manager.MyListener - The element with locator-->By.xpath: //div[@class='header']/a[6]was found
20:41:44 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@autocomplete='username']
20:41:44 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@autocomplete='username']was found
20:41:44 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@autocomplete='current-password']
20:41:44 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@autocomplete='current-password']was found
20:41:44 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[@type='submit']
20:41:44 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@type='submit']was found
20:41:46 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: .dialog-container
20:41:46 INFO  manager.MyListener - The element with locator-->By.cssSelector: .dialog-containerwas found
20:41:46 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: .dialog-container h2
20:41:46 INFO  manager.MyListener - The element with locator-->By.cssSelector: .dialog-container h2was found
20:41:46 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[text()='Ok']
20:41:46 INFO  manager.MyListener - The element with locator-->By.xpath: //button[text()='Ok']was found
20:41:46 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[text()='Ok']
20:41:46 INFO  manager.MyListener - The element with locator-->By.xpath: //button[text()='Ok']was found
20:41:46 INFO  tests.TestBase - The end of test--->test
