21:14:52 INFO  manager.ApplManager - Tests starts on Chrome Driver
21:15:05 INFO  tests.TestBase - Start test--->test
21:15:05 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //a[@href="/logout?url=%2Fsearch"]
21:15:20 INFO  manager.MyListener - The element with locator-->By.xpath: //a[@href="/logout?url=%2Fsearch"]was found
21:15:20 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[@class='header']/a[6]
21:15:20 INFO  manager.MyListener - The element with locator-->By.xpath: //div[@class='header']/a[6]was found
21:15:20 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@autocomplete='username']
21:15:20 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@autocomplete='username']was found
21:15:20 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@autocomplete='current-password']
21:15:20 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@autocomplete='current-password']was found
21:15:20 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[@type='submit']
21:15:20 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@type='submit']was found
21:15:22 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: .dialog-container
21:15:22 INFO  manager.MyListener - The element with locator-->By.cssSelector: .dialog-containerwas found
21:15:22 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: .dialog-container h2
21:15:22 INFO  manager.MyListener - The element with locator-->By.cssSelector: .dialog-container h2was found
21:15:22 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[text()='Ok']
21:15:22 INFO  manager.MyListener - The element with locator-->By.xpath: //button[text()='Ok']was found
21:15:22 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[text()='Ok']
21:15:22 INFO  manager.MyListener - The element with locator-->By.xpath: //button[text()='Ok']was found
21:15:23 INFO  tests.TestBase - The end of test--->test
21:15:23 INFO  tests.TestBase - Start test--->test
21:15:23 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //a[@href="/logout?url=%2Fsearch"]
21:15:23 INFO  manager.MyListener - The element with locator-->By.xpath: //a[@href="/logout?url=%2Fsearch"]was found
21:15:23 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //a[@href="/logout?url=%2Fsearch"]
21:15:23 INFO  manager.MyListener - The element with locator-->By.xpath: //a[@href="/logout?url=%2Fsearch"]was found
21:15:23 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[@class='header']/a[6]
21:15:23 INFO  manager.MyListener - The element with locator-->By.xpath: //div[@class='header']/a[6]was found
21:15:23 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@autocomplete='username']
21:15:23 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@autocomplete='username']was found
21:15:23 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@autocomplete='current-password']
21:15:23 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@autocomplete='current-password']was found
21:15:23 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[@type='submit']
21:15:23 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@type='submit']was found
21:15:25 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: .dialog-container
21:15:25 INFO  manager.MyListener - The element with locator-->By.cssSelector: .dialog-containerwas found
21:15:25 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: .dialog-container h2
21:15:25 INFO  manager.MyListener - The element with locator-->By.cssSelector: .dialog-container h2was found
21:15:25 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[text()='Ok']
21:15:25 INFO  manager.MyListener - The element with locator-->By.xpath: //button[text()='Ok']was found
21:15:25 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[text()='Ok']
21:15:25 INFO  manager.MyListener - The element with locator-->By.xpath: //button[text()='Ok']was found
21:15:25 INFO  tests.TestBase - The end of test--->test
21:15:25 INFO  tests.TestBase - Start test--->test
21:15:25 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //a[@href="/logout?url=%2Fsearch"]
21:15:25 INFO  manager.MyListener - The element with locator-->By.xpath: //a[@href="/logout?url=%2Fsearch"]was found
21:15:25 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //a[@href="/logout?url=%2Fsearch"]
21:15:25 INFO  manager.MyListener - The element with locator-->By.xpath: //a[@href="/logout?url=%2Fsearch"]was found
21:15:25 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[@class='header']/a[6]
21:15:25 INFO  manager.MyListener - The element with locator-->By.xpath: //div[@class='header']/a[6]was found
21:15:25 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@autocomplete='username']
21:15:25 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@autocomplete='username']was found
