18:40:51 INFO  manager.ApplManager - Tests starts on Chrome Driver
18:41:00 INFO  tests.TestBase - Start test--->findYourCarPositive3
18:41:00 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@id='city']
18:41:00 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@id='city']was found
18:41:00 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: div.pac-item
18:41:00 INFO  manager.MyListener - The element with locator-->By.cssSelector: div.pac-itemwas found
18:41:01 INFO  manager.MyListener - Start searching element by locator-->By.xpath: (//input[@id='dates'])[1]
18:41:01 INFO  manager.MyListener - The element with locator-->By.xpath: (//input[@id='dates'])[1]was found
18:41:01 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[text()= 28 ]
18:41:01 INFO  manager.MyListener - The element with locator-->By.xpath: //div[text()= 28 ]was found
18:41:01 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[text()= 30 ]
18:41:01 INFO  manager.MyListener - The element with locator-->By.xpath: //div[text()= 30 ]was found
18:41:01 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[@type='submit']
18:41:01 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@type='submit']was found
18:41:01 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: .car-img-container.ng-star-inserted
18:41:03 INFO  manager.MyListener - The element with locator-->By.cssSelector: .car-img-container.ng-star-insertedwas found
18:41:03 INFO  tests.TestBase - The end of test--->findYourCarPositive3
