18:49:26 INFO  manager.ApplManager - Tests starts on Chrome Driver
18:49:39 INFO  tests.TestBase - Start test--->findYourCarPositive3
18:49:39 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@id='city']
18:49:39 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@id='city']was found
18:49:39 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: div.pac-item
18:49:40 INFO  manager.MyListener - The element with locator-->By.cssSelector: div.pac-itemwas found
18:49:40 INFO  manager.MyListener - Start searching element by locator-->By.xpath: (//input[@id='dates'])[1]
18:49:40 INFO  manager.MyListener - The element with locator-->By.xpath: (//input[@id='dates'])[1]was found
18:49:40 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[text()= 28 ]
18:49:40 INFO  manager.MyListener - The element with locator-->By.xpath: //div[text()= 28 ]was found
18:49:41 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[text()= 30 ]
18:49:41 INFO  manager.MyListener - The element with locator-->By.xpath: //div[text()= 30 ]was found
18:49:41 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[@type='submit']
18:49:41 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@type='submit']was found
18:49:41 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: .car-img-container.ng-star-inserted
18:49:43 INFO  manager.MyListener - The element with locator-->By.cssSelector: .car-img-container.ng-star-insertedwas found
18:49:43 INFO  tests.TestBase - The end of test--->findYourCarPositive3
