20:03:24 INFO  manager.ApplManager - Tests starts on Chrome Driver
20:03:40 INFO  tests.TestBase - Start test--->searchTests
20:03:40 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@id='city']
20:03:40 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@id='city']was found
20:03:40 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: div.pac-item
20:03:40 INFO  manager.MyListener - The element with locator-->By.cssSelector: div.pac-itemwas found
20:03:41 INFO  manager.MyListener - Start searching element by locator-->By.xpath: (//input[@id='dates'])[1]
20:03:41 INFO  manager.MyListener - The element with locator-->By.xpath: (//input[@id='dates'])[1]was found
20:03:41 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[@aria-label='Next month']
20:03:41 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@aria-label='Next month']was found
20:03:41 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[.=' 15 ']
20:03:41 INFO  manager.MyListener - The element with locator-->By.xpath: //div[.=' 15 ']was found
20:03:41 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[@aria-label='Next month']
20:03:41 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@aria-label='Next month']was found
20:03:41 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[@aria-label='Next month']
20:03:41 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@aria-label='Next month']was found
20:03:41 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[@aria-label='Next month']
20:03:41 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@aria-label='Next month']was found
20:03:41 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[.=' 10 ']
20:03:41 INFO  manager.MyListener - The element with locator-->By.xpath: //div[.=' 10 ']was found
20:03:41 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[@type='submit']
20:03:41 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@type='submit']was found
20:03:41 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: .car-img-container.ng-star-inserted
20:03:43 INFO  manager.MyListener - The element with locator-->By.cssSelector: .car-img-container.ng-star-insertedwas found
20:03:43 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[@class='header']//img[@alt='logo']
20:03:43 INFO  manager.MyListener - The element with locator-->By.xpath: //div[@class='header']//img[@alt='logo']was found
20:03:43 INFO  tests.TestBase - The end of test--->searchTests
